strain_name	peptide_count	taxonomy
candidate division pSL4 archaeon SCGC AAA471-E14	1323	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon SCGC AAA471-E14
candidate division pSL4 archaeon SCGC AAA471-J07	290	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon SCGC AAA471-J07
candidate division pSL4 archaeon SCGC AAA471-J08	273	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon SCGC AAA471-J08
Archaeoglobus fulgidus DSM 4304	2420	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus DSM 4304
Archaeoglobus profundus	4	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus profundus
Archaeoglobus profundus DSM 5631	1858	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus profundus DSM 5631
Archaeoglobus sulfaticallidus PM70-1	2216	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus sulfaticallidus PM70-1
Archaeoglobus veneficus SNP6	2145	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus veneficus SNP6
Ferroglobus placidus DSM 10642	2480	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus;Ferroglobus placidus DSM 10642
Haladaptatus paucihalophilus DX253	4443	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haladaptatus;Haladaptatus paucihalophilus DX253
Halalkalicoccus jeotgali B3	3861	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;Halalkalicoccus jeotgali B3
Haloarcula AS7094	4	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula;Haloarcula AS7094
Haloarcula hispanica ATCC 33960	3859	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula;Haloarcula hispanica ATCC 33960
Haloarcula marismortui ATCC 43049	4242	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula;Haloarcula marismortui ATCC 43049
Halobacterium DL1	3297	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium DL1
Halobacterium GN101	1	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium GN101
Halobacterium NRC-1	2622	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium NRC-1
Halobacterium salinarum	54	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium salinarum
Halobacterium salinarum R1	2749	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;Halobacterium salinarum R1
Haloferax mediterranei ATCC 33500	3863	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;Haloferax mediterranei ATCC 33500
Haloferax volcanii	4074	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;Haloferax volcanii
Haloferax volcanii DS2	4015	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;Haloferax volcanii DS2
Halogeometricum borinquense DSM 11551	3936	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogeometricum;Halogeometricum borinquense DSM 11551
Halogranum salarium B-1	4824	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogranum;Halogranum salarium B-1
Halomicrobium mukohataei DSM 12286	3415	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomicrobium;Halomicrobium mukohataei DSM 12286
Halopiger xanaduensis SH-6	4221	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopiger;Halopiger xanaduensis SH-6
Haloquadratum walsbyi C23	2743	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloquadratum;Haloquadratum walsbyi C23
Haloquadratum walsbyi DSM 16790	2646	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloquadratum;Haloquadratum walsbyi DSM 16790
Halorhabdus tiamatea SARL4B	3023	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorhabdus;Halorhabdus tiamatea SARL4B
Halorhabdus utahensis DSM 12940	3027	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorhabdus;Halorhabdus utahensis DSM 12940
Halorubrum lacusprofundi ATCC 49239	3560	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;Halorubrum lacusprofundi ATCC 49239
Halorubrum saccharovorum	7	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;Halorubrum saccharovorum
Haloterrigena thermotolerans H13	1	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena;Haloterrigena thermotolerans H13
Haloterrigena turkmenica DSM 5511	5287	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena;Haloterrigena turkmenica DSM 5511
Halovivax ruber XH-70	3099	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halovivax;Halovivax ruber XH-70
Natrialba magadii ATCC 43099	4211	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;Natrialba magadii ATCC 43099
Natrinema CX2021	1	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrinema;Natrinema CX2021
Natrinema J7-2	4302	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrinema;Natrinema J7-2
